0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:38:11 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:38:25 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:38:42 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:38:49 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:39:11 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:39:13 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:39:27 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:46:40 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:47:43 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:50:45 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:50:46 +0900] "GET /03_javascript/images/cup-1.png HTTP/1.1" 200 10529
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:55:21 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:55:21 +0900] "GET /03_javascript/images/cup-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:55:22 +0900] "GET /03_javascript/images/cup-2.png HTTP/1.1" 200 10948
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:08 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:08 +0900] "GET /03_javascript/images/cup-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:09 +0900] "GET /03_javascript/images/cup-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:21 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:26 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:33 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:36 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:55 +0900] "GET /03_javascript/day03/ex11_DOM.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:57:55 +0900] "GET /03_javascript/images/cup-1.png HTTP/1.1" 304 -
